國文,英文,數學,社會,自然
8,7,9,12,15
6,10,14,12,12
10,15,8,6,9
11,10,13,9,10
9,7,12,12,12
7,6,9,12,6
9,15,14,7,7
10,12,10,12,13
14,11,14,11,12
7,11,15,8,15
7,13,12,7,12
9,15,10,14,13
12,8,15,13,9
10,8,12,14,11
6,11,10,6,11
8,7,6,10,15
11,13,11,13,6
7,6,8,13,12
15,15,9,7,8
15,6,10,7,10
10,12,14,13,8
13,12,10,7,14
10,13,13,13,10
12,8,11,6,15
7,13,9,13,8
7,8,10,15,11
15,10,10,12,15
14,14,13,11,7
10,7,15,12,11
13,8,10,10,11
9,14,9,12,7
12,15,11,11,9
12,15,14,8,13
15,8,11,7,13
10,10,12,10,11
10,11,8,12,12
14,12,6,9,9
7,15,6,14,12
15,13,11,15,13
12,14,11,12,7
8,11,9,10,11
11,15,14,10,6
15,15,10,14,13
13,11,11,6,14
10,11,9,10,10
13,12,7,9,11
9,14,9,15,9
7,10,10,12,8
14,9,7,9,9
8,8,13,12,12
10,8,14,9,11
8,12,14,9,9
9,11,10,10,15
15,11,10,13,15
8,8,12,11,7
15,15,8,15,12
7,9,7,8,15
14,14,13,7,9
9,9,6,10,10
11,6,15,11,15
8,6,8,12,15
7,8,9,14,6
13,9,8,7,12
14,15,15,6,13
13,15,11,13,9
13,8,6,12,9
12,13,7,12,10
6,7,8,7,10
15,7,6,7,15
11,7,11,14,15
10,8,10,11,12
10,7,6,14,7
8,9,12,10,8
8,6,11,7,13
14,9,8,11,14
14,12,14,7,10
6,7,11,11,14
11,13,11,9,14
13,14,14,6,15
13,15,10,10,12
15,13,7,7,11
7,13,8,7,14
9,14,7,7,12
12,6,11,12,11
13,8,6,6,12
9,6,12,7,12
13,12,7,12,6
10,13,8,8,13
6,6,6,11,9
14,7,13,14,12
6,12,8,13,14
7,8,10,14,14
8,7,6,7,8
8,13,15,14,11
6,10,9,13,11
6,13,10,6,9
7,11,13,13,7
11,13,7,14,15
8,10,14,13,8
12,12,8,14,7
